,project,fuzzer,run,edges_found,hour
132,bsdtar,AFLPP,5,3101,13
133,bsdtar,AFLPP,5,3108,14
134,bsdtar,AFLPP,5,3108,15
135,bsdtar,AFLPP,5,3109,16
136,bsdtar,AFLPP,5,3513,17
137,bsdtar,AFLPP,5,3996,18
138,bsdtar,AFLPP,5,4099,19
139,bsdtar,AFLPP,5,4124,20
140,bsdtar,AFLPP,5,4130,21
141,bsdtar,AFLPP,5,4145,22
142,bsdtar,AFLPP,5,4150,23
143,bsdtar,AFLPP,5,4161,24
144,bsdtar,AFLPP,6,2351,1
145,bsdtar,AFLPP,6,2368,2
146,bsdtar,AFLPP,6,2388,3
147,bsdtar,AFLPP,6,2392,4
148,bsdtar,AFLPP,6,2995,5
149,bsdtar,AFLPP,6,3126,6
150,bsdtar,AFLPP,6,3381,7
151,bsdtar,AFLPP,6,3435,8
152,bsdtar,AFLPP,6,3451,9
153,bsdtar,AFLPP,6,3516,10
154,bsdtar,AFLPP,6,3540,11
155,bsdtar,AFLPP,6,3802,12
156,bsdtar,AFLPP,6,4204,13
157,bsdtar,AFLPP,6,4579,14
158,bsdtar,AFLPP,6,4612,15
159,bsdtar,AFLPP,6,4638,16
160,bsdtar,AFLPP,6,4681,17
161,bsdtar,AFLPP,6,4710,18
162,bsdtar,AFLPP,6,4710,19
163,bsdtar,AFLPP,6,4735,20
164,bsdtar,AFLPP,6,4739,21
165,bsdtar,AFLPP,6,4742,22
166,bsdtar,AFLPP,6,4758,23
167,bsdtar,AFLPP,6,5330,24
168,bsdtar,AFLPP,7,2497,1
169,bsdtar,AFLPP,7,3980,2
170,bsdtar,AFLPP,7,4105,3
171,bsdtar,AFLPP,7,4114,4
172,bsdtar,AFLPP,7,4123,5
173,bsdtar,AFLPP,7,4126,6
174,bsdtar,AFLPP,7,4138,7
175,bsdtar,AFLPP,7,4140,8
176,bsdtar,AFLPP,7,4429,9
177,bsdtar,AFLPP,7,4435,10
178,bsdtar,AFLPP,7,4482,11
179,bsdtar,AFLPP,7,4529,12
180,bsdtar,AFLPP,7,4537,13
181,bsdtar,AFLPP,7,4539,14
182,bsdtar,AFLPP,7,4541,15
183,bsdtar,AFLPP,7,4543,16
184,bsdtar,AFLPP,7,4546,17
185,bsdtar,AFLPP,7,4564,18
186,bsdtar,AFLPP,7,4569,19
187,bsdtar,AFLPP,7,4573,20
188,bsdtar,AFLPP,7,4576,21
189,bsdtar,AFLPP,7,4576,22
190,bsdtar,AFLPP,7,4577,23
191,bsdtar,AFLPP,7,4577,24
192,bsdtar,AFLPP,8,2381,1
193,bsdtar,AFLPP,8,2392,2
194,bsdtar,AFLPP,8,2655,3
195,bsdtar,AFLPP,8,2810,4
196,bsdtar,AFLPP,8,2907,5
197,bsdtar,AFLPP,8,3018,6
198,bsdtar,AFLPP,8,3034,7
199,bsdtar,AFLPP,8,3096,8
200,bsdtar,AFLPP,8,3098,9
201,bsdtar,AFLPP,8,3101,10
202,bsdtar,AFLPP,8,3105,11
203,bsdtar,AFLPP,8,3124,12
204,bsdtar,AFLPP,8,3132,13
205,bsdtar,AFLPP,8,3133,14
206,bsdtar,AFLPP,8,3246,15
207,bsdtar,AFLPP,8,3248,16
208,bsdtar,AFLPP,8,3253,17
209,bsdtar,AFLPP,8,3254,18
210,bsdtar,AFLPP,8,3256,19
211,bsdtar,AFLPP,8,3266,20
212,bsdtar,AFLPP,8,3266,21
213,bsdtar,AFLPP,8,3266,22
214,bsdtar,AFLPP,8,3270,23
215,bsdtar,AFLPP,8,3272,24
216,bsdtar,AFLPP,9,2354,1
217,bsdtar,AFLPP,9,2362,2
218,bsdtar,AFLPP,9,2598,3
219,bsdtar,AFLPP,9,2674,4
220,bsdtar,AFLPP,9,2688,5
221,bsdtar,AFLPP,9,2697,6
222,bsdtar,AFLPP,9,2753,7
223,bsdtar,AFLPP,9,3469,8
224,bsdtar,AFLPP,9,3637,9
225,bsdtar,AFLPP,9,3715,10
226,bsdtar,AFLPP,9,3736,11
227,bsdtar,AFLPP,9,4242,12
228,bsdtar,AFLPP,9,4245,13
229,bsdtar,AFLPP,9,4248,14
230,bsdtar,AFLPP,9,4251,15
231,bsdtar,AFLPP,9,4322,16
232,bsdtar,AFLPP,9,4322,17
233,bsdtar,AFLPP,9,4322,18
234,bsdtar,AFLPP,9,4429,19
235,bsdtar,AFLPP,9,4437,20
236,bsdtar,AFLPP,9,4460,21
237,bsdtar,AFLPP,9,4463,22
238,bsdtar,AFLPP,9,4474,23
239,bsdtar,AFLPP,9,4498,24
240,bsdtar,AFLPP+C,0,2372,1
241,bsdtar,AFLPP+C,0,2510,2
242,bsdtar,AFLPP+C,0,2678,3
243,bsdtar,AFLPP+C,0,2693,4
244,bsdtar,AFLPP+C,0,2754,5
245,bsdtar,AFLPP+C,0,3014,6
246,bsdtar,AFLPP+C,0,3303,7
247,bsdtar,AFLPP+C,0,3325,8
248,bsdtar,AFLPP+C,0,3419,9
249,bsdtar,AFLPP+C,0,3425,10
250,bsdtar,AFLPP+C,0,3443,11
251,bsdtar,AFLPP+C,0,3453,12
252,bsdtar,AFLPP+C,0,3461,13
253,bsdtar,AFLPP+C,0,3464,14
254,bsdtar,AFLPP+C,0,3466,15
255,bsdtar,AFLPP+C,0,3494,16
256,bsdtar,AFLPP+C,0,3495,17
257,bsdtar,AFLPP+C,0,3504,18
258,bsdtar,AFLPP+C,0,3509,19
259,bsdtar,AFLPP+C,0,4858,20
260,bsdtar,AFLPP+C,0,4958,21
261,bsdtar,AFLPP+C,0,5073,22
262,bsdtar,AFLPP+C,0,5106,23
263,bsdtar,AFLPP+C,0,5128,24
264,bsdtar,AFLPP+C,1,2521,1
265,bsdtar,AFLPP+C,1,2788,2
266,bsdtar,AFLPP+C,1,2812,3
267,bsdtar,AFLPP+C,1,2821,4
268,bsdtar,AFLPP+C,1,2878,5
269,bsdtar,AFLPP+C,1,2880,6
270,bsdtar,AFLPP+C,1,2882,7
271,bsdtar,AFLPP+C,1,2884,8
272,bsdtar,AFLPP+C,1,3132,9
273,bsdtar,AFLPP+C,1,3250,10
274,bsdtar,AFLPP+C,1,3292,11
275,bsdtar,AFLPP+C,1,3318,12
276,bsdtar,AFLPP+C,1,3325,13
277,bsdtar,AFLPP+C,1,3775,14
278,bsdtar,AFLPP+C,1,4016,15
279,bsdtar,AFLPP+C,1,4036,16
280,bsdtar,AFLPP+C,1,4054,17
281,bsdtar,AFLPP+C,1,4064,18
282,bsdtar,AFLPP+C,1,4064,19
283,bsdtar,AFLPP+C,1,4067,20
284,bsdtar,AFLPP+C,1,4067,21
285,bsdtar,AFLPP+C,1,4067,22
286,bsdtar,AFLPP+C,1,4074,23
287,bsdtar,AFLPP+C,1,4074,24
288,bsdtar,AFLPP+C,2,2381,1
289,bsdtar,AFLPP+C,2,3436,2
290,bsdtar,AFLPP+C,2,3910,3
291,bsdtar,AFLPP+C,2,4047,4
292,bsdtar,AFLPP+C,2,4071,5
293,bsdtar,AFLPP+C,2,4150,6
294,bsdtar,AFLPP+C,2,4158,7
295,bsdtar,AFLPP+C,2,4167,8
296,bsdtar,AFLPP+C,2,4244,9
297,bsdtar,AFLPP+C,2,4284,10
298,bsdtar,AFLPP+C,2,4348,11
299,bsdtar,AFLPP+C,2,4360,12
300,bsdtar,AFLPP+C,2,4367,13
301,bsdtar,AFLPP+C,2,4375,14
302,bsdtar,AFLPP+C,2,4966,15
303,bsdtar,AFLPP+C,2,4978,16
304,bsdtar,AFLPP+C,2,4988,17
305,bsdtar,AFLPP+C,2,4995,18
306,bsdtar,AFLPP+C,2,5013,19
307,bsdtar,AFLPP+C,2,5053,20
308,bsdtar,AFLPP+C,2,5071,21
309,bsdtar,AFLPP+C,2,5135,22
310,bsdtar,AFLPP+C,2,5657,23
311,bsdtar,AFLPP+C,2,5778,24
312,bsdtar,AFLPP+C,3,2418,1
313,bsdtar,AFLPP+C,3,2597,2
314,bsdtar,AFLPP+C,3,2681,3
315,bsdtar,AFLPP+C,3,2811,4
316,bsdtar,AFLPP+C,3,3966,5
317,bsdtar,AFLPP+C,3,4209,6
318,bsdtar,AFLPP+C,3,4241,7
319,bsdtar,AFLPP+C,3,4279,8
320,bsdtar,AFLPP+C,3,4364,9
321,bsdtar,AFLPP+C,3,4468,10
322,bsdtar,AFLPP+C,3,4469,11
323,bsdtar,AFLPP+C,3,4473,12
324,bsdtar,AFLPP+C,3,4589,13
325,bsdtar,AFLPP+C,3,4598,14
326,bsdtar,AFLPP+C,3,4619,15
327,bsdtar,AFLPP+C,3,4670,16
328,bsdtar,AFLPP+C,3,4670,17
329,bsdtar,AFLPP+C,3,4670,18
330,bsdtar,AFLPP+C,3,4673,19
331,bsdtar,AFLPP+C,3,4673,20
332,bsdtar,AFLPP+C,3,4911,21
333,bsdtar,AFLPP+C,3,5023,22
334,bsdtar,AFLPP+C,3,5044,23
335,bsdtar,AFLPP+C,3,5079,24
336,bsdtar,AFLPP+C,4,2416,1
337,bsdtar,AFLPP+C,4,2696,2
338,bsdtar,AFLPP+C,4,2870,3
339,bsdtar,AFLPP+C,4,2882,4
340,bsdtar,AFLPP+C,4,2888,5
341,bsdtar,AFLPP+C,4,2946,6
342,bsdtar,AFLPP+C,4,2952,7
343,bsdtar,AFLPP+C,4,2954,8
344,bsdtar,AFLPP+C,4,2954,9
345,bsdtar,AFLPP+C,4,3012,10
